DT_GERACAO,HH_GERACAO,ANO_ELEICAO,CD_TIPO_ELEICAO,NM_TIPO_ELEICAO,CD_ELEICAO,DS_ELEICAO,DT_ELEICAO,DT_POSSE,SG_UF,SG_UE,NM_UE,CD_CARGO,DS_CARGO,QT_VAGA
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,MS,MS,MATO GROSSO DO SUL,4,Vice-governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,MS,MS,MATO GROSSO DO SUL,5,Senador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,MS,MS,MATO GROSSO DO SUL,6,Deputado Federal,8
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,MS,MS,MATO GROSSO DO SUL,7,Deputado Estadual,24
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,MS,MS,MATO GROSSO DO SUL,9,1. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,MS,MS,MATO GROSSO DO SUL,10,2. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,MT,MT,MATO GROSSO,3,Governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,MT,MT,MATO GROSSO,4,Vice-governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,MT,MT,MATO GROSSO,5,Senador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,MT,MT,MATO GROSSO,6,Deputado Federal,8
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,MT,MT,MATO GROSSO,7,Deputado Estadual,24
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,MT,MT,MATO GROSSO,9,1. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,MT,MT,MATO GROSSO,10,2. Suplente,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,PA,PA,PARÁ,3,Governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/01/2015,PA,PA,PARÁ,4,Vice-governador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,PA,PA,PARÁ,5,Senador,1
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,PA,PA,PARÁ,6,Deputado Federal,17
07/07/2022,16:30:58,2014,1,Eleição Extraordinária,143,Eleições Gerais 2014,05/10/2014,01/02/2015,PA,PA,PARÁ,7,Deputado Estadual,41
