scenario_id,period_id,election_year,start_inclusive,end_exclusive,party_set
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-032,2018,2021-03-31,2021-07-28,DEM;PR;PRB;PSC;PSD;PSL
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-033,2018,2021-07-28,2022-03-24,DEM;PP;PR;PRB;PSC;PSD;PSL
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-034,2018,2022-03-24,2022-03-27,DEM;PP;PR;PRB;PSC;PSL
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-035,2018,2022-03-27,2022-03-28,PP;PR;PSC
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-036,2018,2022-03-28,2022-03-30,PP;PR;PRB;PSC
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-037,2018,2022-03-30,2022-03-31,PP;PR;PRB
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-038,2018,2022-03-31,2022-05-11,PP;PRB;PSD
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-039,2018,2022-05-11,2022-12-30,DEM;PP;PRB;PSD;PSL
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-040,2018,2022-12-30,2023-01-01,DEM;NOVO;PRB;PSD;PSL
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-041,2022,2023-01-01,2023-09-13,MDB;PCdoB;PDT;PSB;PSD;PSOL;PT;REDE;UNIÃO
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-042,2022,2023-09-13,2023-12-04,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-043,2022,2023-12-04,2023-12-06,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-044,2022,2023-12-06,2024-12-03,MDB;PCdoB;PDT;PP;PSB;PSD;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
affiliation-8527ce77d2d2@service-dilma_rousseff-1-77/MDB,CV5-045,2022,2024-12-03,2024-12-06,MDB;PCdoB;PDT;PP;PSB;PSD;PSDB;PSOL;PT;REDE;REPUBLICANOS;UNIÃO
